,plu_id,plu_hierarchy_lvl_2_desc,plu_width_amt,plu_depth_amt,plu_height_amt,Квант
773,2170344.0,Сопутствующие товары (Food),5.7,5.7,30.0,21.0
774,4146407.0,Сопутствующие товары (Food),19.65,12.95,35.8,
775,4110616.0,Кондитерские изделия (Food),18.0,2.2,7.8,
776,4225454.0,Сопутствующие товары (Food),6.5,6.5,14.5,
777,4073185.0,Сопутствующие товары (Food),6.0,4.5,16.0,
778,4139632.0,Кондитерские изделия (Food),5.5,25.5,11.5,
779,4192551.0,Кондитерские изделия (Fresh),9.0,9.0,11.0,
780,4266835.0,Мясная гастрономия,17.0,0.5,25.5,
781,3634490.0,Мясная гастрономия,12.5,5.2,17.5,
782,4142610.0,Кондитерские изделия (Food),24.5,10.0,33.0,
783,4250506.0,Бакалея (Food),17.0,9.8,30.0,
784,4315657.0,Замороженные продукты,8.0,23.0,6.0,
785,4034614.0,Замороженные продукты,9.0,20.0,3.0,
786,2139858.0,"Соки, воды, пиво",8.7,8.7,33.2,24.0
787,3638123.0,Рыбная гастрономия,11.5,7.0,26.3,4.0
788,4050951.0,Детское питание (Fresh),7.0,7.0,4.0,
789,3418513.0,Бакалея (Food),8.0,7.0,15.0,12.0
790,2077953.0,Бакалея (Food),14.5,4.1,6.7,
791,4182213.0,Замороженные продукты,18.0,3.0,21.0,
792,4120357.0,"Соки, воды, пиво",8.1,8.1,25.4,
793,3443773.0,Мясная гастрономия,17.8,22.8,3.8,
794,3468289.0,Бакалея (Food),7.0,9.0,12.0,
795,4132417.0,Бакалея (Food),10.2,5.5,19.5,
796,4331800.0,"Готовая кулинария, салаты",13.0,30.0,9.5,
797,8200.0,Сопутствующие товары (Food),4.4,2.0,23.0,
798,21001.0,Бакалея (Food),7.5,7.0,9.5,
799,4126650.0,"Готовая кулинария, салаты",13.2,16.4,4.4,
800,4367624.0,Бакалея (Food),7.0,7.0,12.5,8.0
801,4293058.0,"Соки, воды, пиво",6.4,6.4,16.6,
802,3444917.0,Замороженные продукты,21.0,19.0,4.0,
803,4120349.0,Детское питание (Food),12.0,6.0,22.0,
804,3424885.0,Бакалея (Food),12.5,4.0,12.0,
805,4205248.0,Бакалея (Food),3.5,0.7,18.5,
806,4182586.0,"Соки, воды, пиво",10.5,10.5,34.7,6.0
807,20712.0,Сопутствующие товары (Food),5.0,5.0,24.0,
808,3423599.0,Кондитерские изделия (Food),14.7,5.0,23.0,
809,4340423.0,Бакалея (Food),6.5,6.5,9.7,
810,4061858.0,Корма для животных,9.5,1.6,14.0,
811,4201174.0,Мясная гастрономия,15.5,1.5,23.0,
812,3472995.0,Кондитерские изделия (Fresh),19.0,19.0,12.0,
813,3975846.0,Сопутствующие товары (Food),13.2,6.8,25.0,
814,3273170.0,Кондитерские изделия (Food),24.7,24.7,5.3,
815,3352482.0,Сопутствующие товары (Food),5.4,3.5,14.5,
816,2046254.0,Рыбная гастрономия,15.0,25.0,2.5,
817,4135488.0,Замороженные продукты,18.0,40.0,5.0,
818,4122012.0,Рыбная гастрономия,14.0,14.0,4.0,
819,2152578.0,Сопутствующие товары (Food),9.5,2.5,12.0,2.0
820,4214836.0,Кондитерские изделия (Food),14.0,1.5,15.0,
821,3658841.0,Птица и изделия из птицы,17.8,22.7,4.0,
822,4360726.0,"Соки, воды, пиво",6.3,6.3,16.9,12.0
823,4345785.0,Мясная гастрономия,13.0,3.0,11.5,8.0
824,3692804.0,Корма для животных,9.5,1.0,15.0,
825,4183330.0,Кондитерские изделия (Food),20.0,3.3,9.0,20.0
826,4060846.0,Замороженные продукты,30.5,4.0,21.0,
827,4307758.0,Молочная гастрономия,9.0,9.0,6.0,
828,4306402.0,"Соки, воды, пиво",9.1,9.1,33.0,6.0
829,3998012.0,Корма для животных,9.3,14.0,1.5,
830,4197075.0,Сопутствующие товары (Food),9.5,5.6,23.0,
